CGCG_148-031|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/07/CGCG_0745.7+2901:S:UBVR:f2000.fits.gz']
UGC_06375|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1118.9+4630:S:UBVR:f2000.fits.gz']
WKK_1041|[]
NGC_5855|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/15/CGCG_1505.3+0410:S:UBVR:f2000.fits.gz']
NGC_6460|[]
UGC_11543|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/20/CGCG_2020.2+0925:S:UBVR:f2000.fits.gz']
NGC_7116|[]
CGCG_487-028|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_0411.2+2432:S:UBVR:f2000.fits.gz']
ABELL_S0617:[GMT93]_I|[]
IC_0677|[]
ESO_596-_G_021|[]
CGCG_424-039|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/20/CGCG_2038.3+1037:S:UBVR:f2000.fits.gz']
NGC_0826|[]
CGCG_463-041|[]
NGC_1279|[]
CGCG_318-012|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/15/CGCG_1501.6+6828:S:UBVR:f2000.fits.gz']
IC_4555|[]
2MFGC_13057|[]
2MASX_J22354078+0129053|[]
MCG_-05-03-017|[]
UGC_02007|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/02/CGCG_0229.5+0930:S:UBVR:f2000.fits.gz']
CGCG_170-019|[]
UGC_11686|[]
UGC_12181|[]
UGC_12290|[]
UGC_01543|[]
UGC_01772|[]
NGC_1483|[]
CGCG_421-035|[]
CGCG_307-023|[]
CGCG_310-018|[]
NGC_0543|[]
2MASX_J16572681-1011279|[]
CGCG_401-007|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/21/CGCG_2110.8+0632:S:UBVR:f2000.fits.gz']
ESO_530-_G_034|[]
IC_5331|[]
ESO_197-IG_001_NED01|[]
WKK_1045|[]
WKK_5644|[]
NGC_6047|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/16/CGCG_1602.8+1752:S:UBVR:f2000.fits.gz']
ESO_186-_G_047|[]
